BuildingDirection,Floor,Room,CurrentMAC,CurrentInstance,NewMAC,RoomNumber,UnitNumber,NewInstance
West,4,3,37,37,7,03,0,14030
West,4,4,32,32,8,04,0,14040
West,4,4A,73,73,9,04,1,14041
West,4,4B,67,67,10,04,2,14042
West,4,5A,113,113,11,05,1,14051
West,4,5B,89,89,12,05,2,14052
West,4,7,65,65,13,07,0,14070
West,4,8A,66,66,14,08,1,14081
West,4,9,111,111,16,09,0,14090
West,4,10,64,64,17,10,0,14100
West,4,11,93,93,18,11,0,14110
West,4,12A,60,60,19,12,1,14121
West,4,12B,104,104,20,12,2,14122
West,4,13,61,61,21,13,0,14130
West,4,14A,82,82,22,14,1,14141
West,4,14B,90,90,23,14,2,14142
West,4,14C,42,42,24,14,3,14143
West,4,15,83,83,25,15,0,14150
West,4,17,36,36,26,17,0,14170
West,4,29,71,71,31,29,0,14290
West,4,30,49,49,34,30,0,14300
West,4,31,40,40,37,31,0,14310
West,4,32A,56,56,40,32,1,14321
West,4,32B,72,72,41,32,2,14322
West,4,33,78,78,42,33,0,14330
West,4,34,74,74,45,34,0,14340
West,4,36A,28,28,48,36,1,14361
West,4,36B,41,41,49,36,2,14362
West,4,37,44,44,50,37,0,14370
West,4,38A,52,52,53,38,1,14381
West,4,38B,58,58,54,38,2,14382
West,4,39,87,87,55,39,0,14390
West,4,40,79,79,57,40,0,14400
West,4,49,85,85,62,49,0,14490
West,4,50,33,33,63,50,0,14500
