BuildingDirection,Floor,Room,CurrentMAC,CurrentInstance,NewMAC,RoomNumber,UnitNumber,NewInstance
West,4,52A,7,1204521,7,52,1,14521
West,4,52B,8,1204522,8,52,2,14522
West,4,53,9,1204530,9,53,0,14530
West,4,54,10,1204540,10,54,0,14540
West,4,55,11,1204550,11,55,0,14550
West,4,56,12,1204560,12,56,0,14560
West,4,57,13,1204570,13,57,0,14570
West,4,58A,14,1204581,14,58,1,14581
West,4,58B,15,1204582,15,58,2,14582
West,4,59,16,1204590,16,59,0,14590
West,4,60A,17,1204601,17,60,1,14601
West,4,60B,18,1204602,18,60,2,14602
West,4,61,19,1204610,19,61,0,14610
West,4,62,20,1204620,20,62,0,14620
West,4,63,21,1204630,21,63,0,14630
West,4,64,22,1204640,22,64,0,14640
West,4,65,23,1204650,23,65,0,14650
West,4,66,24,1204660,24,66,0,14660
West,4,68,25,1204680,25,68,0,14680
West,4,69A,26,1204691,26,69,1,14691
West,4,69B,27,1204692,27,69,2,14692
West,4,75,28,1204750,28,75,0,14750
