CurrentInstance,CurrentMAC,NewMAC,NewInstance
202,2,42,70345
203,3,27,70330
205,5,43,70346
207,7,52,70355
212,12,11,70314
215,15,53,70356
216,16,20,70323
218,18,37,70340
219,19,48,70351
221,21,24,70327
222,22,8,70311
224,24,12,70315
225,25,28,70331
227,27,47,70350
228,28,51,70354
230,30,41,70344
231,31,16,70319
232,32,15,70318
233,33,10,70313
234,34,23,70326
236,36,46,70349
237,37,19,70322
239,39,49,70352
240,40,39,70342
241,41,34,70337
243,43,35,70338
244,44,31,70334
246,46,38,70341
248,48,45,70348
252,52,14,70317
253,53,13,70316
255,55,26,70329
256,56,36,70339
259,59,32,70335
260,60,29,70332
263,63,21,70324
264,64,22,70325
265,65,25,70328
267,67,17,70320
268,68,9,70312
269,69,44,70347
270,70,33,70336
271,71,40,70343
272,72,18,70321
273,73,50,70353
